申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00187,2023,省考,安徽,通用卷,2,,贯彻执行,应用文/事务文书,"Q县开发区党⼯委拟召开专题会议，听取“货⻋司机之家”建设⼯作汇报。假设你是“货⻋司机之家”⼯作专班负责
⼈，请根据“给定材料3”，起草⼀份汇报材料提纲。（25分）","（1）紧扣资料，内容准确；
（2）条理清晰，语⾔流畅；
（3）不少于600字。",3；，,25,不少于600字,,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽B卷）.pdf,高,通过强清洗，可进入候选池,
SL-00192,2023,省考,安徽,通用卷,1,1,提出对策,对策措施,根据“给定材料1”，请谈谈N市采取了哪些措施推进基层普法工作。（20分）,"（1）准确全面；
（2）分条列出；
（3）不超过300字。",1,20,不超过300字,基层治理,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽C卷）.pdf,高,通过强清洗，可进入候选池,
SL-00193,2023,省考,安徽,通用卷,1,2,归纳概括,概括要点,"“给定材料2”中介绍了桃花县市场监管局亲商助企、开展“菜单式”服务的做法，请概括其主要经
验。（20分）","（1）紧扣资料，内容全面；
（2）分条列出，简洁明了；
（3）不超过300字。",2；，,20,不超过300字,经济发展,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽C卷）.pdf,高,通过强清洗，可进入候选池,
SL-00194,2023,省考,安徽,通用卷,1,3,申论综合,待细分,"S县住建局拟进一步宣传农村自建房建设规范要求，请根据“给定材料3”，以县住建局的名义草拟一
份《农村自建房建设规范告知书》。（25分）","（1）紧扣资料，针对性强；
（2）条理清晰，语言流畅；
（3）格式规范，文体性强；
（4）不超过500字。",3；，,25,不超过500字,基层治理；乡村振兴,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽C卷）.pdf,高,通过强清洗，可进入候选池,
SL-00195,2023,省考,安徽,通用卷,1,4,申论综合,待细分,"阳春县农村黑臭水体治理工作入选全省生态环境治理典型案例汇编。请根据“给定材料4”，为阳春
县拟写一份案例介绍材料。（35分）","（1）紧扣资料，内容全面；
（2）特色鲜明，亮点突出；
（3）条理清晰，语言流畅；
（4）不少于800字。",4；，,35,不少于800字,基层治理；乡村振兴；生态环保,安徽-2023-未知-M1；安徽-2023-未知-M2；安徽-2023-未知-M3；安徽-2023-未知-M4,2023年公务员多省联考《申论》真题及答案（安徽C卷）.pdf,高,通过强清洗，可进入候选池,
SL-00198,2008,省考,河南,通用卷,1,.1,综合分析,解释评价/启示分析,"请根据给定材料，分析由“初次分配注意效率，再分配注重公平”向“初次分配和再分
配都要处理好效率和公平的关系，再分配更加注重公平’’转变的积极意义。(30分)",条理清楚，语言流畅，不超过500字。,，；，；，,20,不超过300字,,河南-2008-未知-M1；河南-2008-未知-M2；河南-2008-未知-M3；河南-2008-未知-M4；河南-2008-未知-M5；河南-2008-未知-M6；河南-2008-未知-M7；河南-2008-未知-M8；河南-2008-未知-M9；河南-2008-未知-M10,2008年河南省公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00199,2008,省考,河南,通用卷,1,.2,文章写作,大作文/议论文,请根据给定材料，就政府在维护社会公平中的作用，写一篇议论文。(50分),"参考给定材料，自选角度，自拟标题，观点明确，内容充实，结构完整，语言流畅，
字数1000～1200字。
2008 年河南省录用公务员考试《申论》真题",，；，；，,20,不超过300字,,河南-2008-未知-M1；河南-2008-未知-M2；河南-2008-未知-M3；河南-2008-未知-M4；河南-2008-未知-M5；河南-2008-未知-M6；河南-2008-未知-M7；河南-2008-未知-M8；河南-2008-未知-M9；河南-2008-未知-M10,2008年河南省公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00201,2010,省考,河南,通用卷,1,,文章写作,大作文/议论文,"（一）认真阅读给定材料，简要概括山西省煤炭资源整合过程中出现的几种主要争议。（15
分）","简洁，准确，200字以内。
（二）“给定材料7”提到，山西煤炭资源整合是场大进小退、优进劣退的改革，请结合资
料内容，谈谈这一观点得出的主要依据。（20分）
要求：观点明确，条理清晰，具有针对性。300字以内。
（三）结合“给定材料10”中“东梁煤矿被低价转让”这一事例，指出煤炭资源整合应从
中吸取哪些教训？（25分）
要求：概括准确，条理清楚，具有针对性。300字以内。
（四）围绕“给定材料2”提到的“朔州途径”，写一篇议论文。（40分）
要求：
（1）参考给定材料内容，自选角度，自拟标题；
（2）观点鲜明，分析深刻，逻辑严谨，表达流畅；
（3）总字数1000—1200字。",，；7；10,15,1000—1200字,,河南-2010-未知-M7；河南-2010-未知-M10；河南-2010-未知-M2,2010年918公务员联考《申论》卷及参考答案（福建、辽宁、河南、海南、山西、内蒙、重庆、陕西、宁夏、青海、西藏）.pdf,高,通过强清洗，可进入候选池,
SL-00202,2011,省考,河南,通用卷,1,,贯彻执行,应用文/事务文书,"（一）假定给定材料1~6是你在调查研究中获取的信息，请你依据这些资料归纳出一份情况
汇报提纲，以供领导参阅。（20分）",分条归纳，内容全面，表述准确，逻辑清晰；不超过400字。,1~6；7~9，；，,20,不超过400字,,河南-2011-未知-M1；河南-2011-未知-M7,2011年917公务员联考《申论》卷及参考答案（福建、河南、重庆、甘肃、新疆）.pdf,高,通过强清洗，可进入候选池,
SL-00203,2012,省考,河南,通用卷,1,,文章写作,大作文/议论文,"请根据你对这句话的思考，参考给定材料，自拟题目，
写一篇文章。（40分）","（1）中心明确，思想深刻；
（2）内容充实，有说服力；
（3）语言流畅，1000字左右。",，,40,1000字左右,,河南-2012-未知-M7；河南-2012-未知-M3,2012年915公务员联考《申论》卷及参考答案（福建、河南、重庆、吉林、陕西）.pdf,高,通过强清洗，可进入候选池,
SL-00208,2014,省考,河南,通用卷,1,4,贯彻执行,应用文/事务文书,"过度包装问题严重。茶叶、化妆品等产品包装所占比例较大，产生大量包装品垃圾。
3.假如你是X镇负责垃圾分类、处理工作的一名工作人员，请结合“给定材料9”，起草一
个关于垃圾分类、处理的经验介绍提纲。（20分）",观点明确，层次清楚，不要求格式。不超过250字。,9,20,不超过250字,生态环保,河南-2014-未知-M7；河南-2014-未知-M2；河南-2014-未知-M9；河南-2014-未知-M6；河南-2014-未知-M8；河南-2014-未知-M3；河南-2014-未知-M4；河南-2014-未知-M5,2014年927公务员考试联考《申论》真题（河南、甘肃卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00209,2015,省考,河南,通用卷,1,1,归纳概括,概括要点,"近年来各地在推进社会治理创新方面，进行了体制机制、方式方法的多种有益探
索，请结合给定材料对此进行梳理概括。（25分）",准确、全面、有概括性，不超过400字。,,25,不超过400字,科技创新,河南-2015-未知-M1；河南-2015-未知-M4；河南-2015-未知-M6,2015年河南省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00210,2015,省考,河南,通用卷,1,2,综合分析,解释评价/启示分析,"请深入分析理解“给定材料4”中黑体字“完全依靠政府部门去逐个打击，又将
是怎样一个不可能完成的任务”的含义？（15分）",分析深入，条理清晰、语言简练，不超过250字。,4,15,不超过250字,,河南-2015-未知-M1；河南-2015-未知-M4；河南-2015-未知-M6,2015年河南省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00211,2015,省考,河南,通用卷,1,3,提出对策,对策措施,"请结合“给定材料6”，就X市政府该如何妥善处理“幼儿园喂药事件”，提出
建议。（20分）",建议措施内容全面、可操作性强，条理清楚，不超过300字。,6,20,不超过300字,,河南-2015-未知-M1；河南-2015-未知-M4；河南-2015-未知-M6,2015年河南省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00212,2015,省考,河南,通用卷,1,4,文章写作,大作文/议论文,"参考给定材料，联系实际，以“从社会管理到社会治理”为副标题，自选角度，
自拟题目，写一篇议论文。（40分）",观点鲜明，内容充实，结构完整，逻辑合理，语言流畅，1000-1200字。,，,40,1000-1200字,,河南-2015-未知-M1；河南-2015-未知-M4；河南-2015-未知-M6,2015年河南省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00223,2016,省考,河南,通用卷,1,1,归纳概括,概括要点,"结合“给定材料2”，对A市部分农村地区发展过程中存在的问题进行梳理概括。（20
分）",紧扣材料，内容全面；简明扼要，条理清晰；不超过300字。,2；，,20,不超过300字,基层治理；乡村振兴,河南-2016-未知-M2；河南-2016-未知-M3；河南-2016-未知-M5；河南-2016-未知-M6；河南-2016-未知-M4,2016年河南省公务员考试《申论》真题及答案解析.pdf,高,通过强清洗，可进入候选池,
SL-00224,2016,省考,河南,通用卷,1,2,综合分析,解释评价/启示分析,"请分析“给定材料3”中提及的两种乡村治理模式在管理理念、价值取向和实施效果上
的不同之处。（20分）",全面、准确、深入；不超过250字。,3,20,不超过250字,基层治理；乡村振兴,河南-2016-未知-M2；河南-2016-未知-M3；河南-2016-未知-M5；河南-2016-未知-M6；河南-2016-未知-M4,2016年河南省公务员考试《申论》真题及答案解析.pdf,高,通过强清洗，可进入候选池,
SL-00225,2016,省考,河南,通用卷,1,3,提出对策,对策措施,"假如你是被派往Y市考察的X市“市长热线受理平台”的工作人员，请结合“给定材料
5和给定材料6”，给领导写一份改进工作的建议。（20分）",条理清晰；有针对性；不考虑格式；不超过300字。,5和；6,20,不超过300字,,河南-2016-未知-M2；河南-2016-未知-M3；河南-2016-未知-M5；河南-2016-未知-M6；河南-2016-未知-M4,2016年河南省公务员考试《申论》真题及答案解析.pdf,高,通过强清洗，可进入候选池,
SL-00226,2016,省考,河南,通用卷,1,4,文章写作,大作文/议论文,"请深入理解“给定材料4”中黑体字“茶风就是作风”的含义，并联系实际，自选角度，
自拟题目，写一篇议论文。（40分）","观点鲜明，内容充实，结构完整，逻辑合理，语言流畅，1000~1200字。
2016 年河南公务员考试《申论》卷",4,40,1000~1200字,,河南-2016-未知-M2；河南-2016-未知-M3；河南-2016-未知-M5；河南-2016-未知-M6；河南-2016-未知-M4,2016年河南省公务员考试《申论》真题及答案解析.pdf,高,通过强清洗，可进入候选池,
SL-00229,2017,省考,河南,通用卷,1,3,文章写作,大作文/议论文,"精神实质：精益求精、志向远大、持续勤奋。
4.“给定材料6”中提到“一旦新的思维方式建立起来，许多旧问题就会自动消失。”请
结合你对这句话的思考，参考“给定材料”，联系实际，自拟题目，写一篇文章。（40分）",观点明确，内容充实，结构完整，语言流畅；总字数1000-1200字。,6,40,1000-1200字,,河南-2017-未知-M40；河南-2017-未知-M1；河南-2017-未知-M2；河南-2017-未知-M3；河南-2017-未知-M4；河南-2017-未知-M5；河南-2017-未知-M6,2017年河南公务员考试《申论》真题及答案.pdf,高,通过强清洗，可进入候选池,
SL-00232,2018,省考,河南,通用卷,1,3,文章写作,大作文/议论文,"精神实质：精益求精、志向远大、持续勤奋。
4.“给定材料 6”中提到“一旦新的思维方式建立起来，许多旧问题就会自
动消失。”请结合你对这句话的思考，参考“给定材料”，联系实际，自拟题
目，写一篇文章。（40 分）",观点明确，内容充实，结构完整，语言流畅；总字数 1000-1200 字。,6,40,1000-1200字,,河南-2018-未知-M40；河南-2018-未知-M1；河南-2018-未知-M2；河南-2018-未知-M3；河南-2018-未知-M4；河南-2018-未知-M5；河南-2018-未知-M6,2018年年河南公务员考试申论真题与参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00243,2022,省考,河南,通用卷,1,1,综合分析,解释评价/启示分析,"请问：在画韵坊社区邻里中心建设中，钟楼街道办事处的做法给你带来哪些启示？（20
分）",紧扣材料，全面准确，层次分明，有概括性，不超过350字。,，,20,不超过350字,基层治理,河南-2022-未知-M2；河南-2022-未知-M3；河南-2022-未知-M4,2022年公务员多省联考《申论》（河南乡镇卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00244,2022,省考,河南,通用卷,1,2,综合分析,解释评价/启示分析,请结合“给定材料2”，分析理解“铁脚板”和“小切口”的含义。(20分）,全面，准确，深入。不超过300字。,2,20,不超过300字,,河南-2022-未知-M2；河南-2022-未知-M3；河南-2022-未知-M4,2022年公务员多省联考《申论》（河南乡镇卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00245,2022,省考,河南,通用卷,1,3,归纳概括,概括要点,"请根据“给定材料3”，对M市和N市在开展生态环境保护跨区域合作方面的举措进行
梳理概括。（20分）",全面准确、条理清晰，有概括性。不超过250字。,3,20,不超过250字,生态环保,河南-2022-未知-M2；河南-2022-未知-M3；河南-2022-未知-M4,2022年公务员多省联考《申论》（河南乡镇卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00246,2022,省考,河南,通用卷,1,4,文章写作,大作文/议论文,"“给定材料 4”中两处提到“纽带”，请深入理解其含义，并以此为话题，联系现实，
自拟题目，写一篇文章。（40分）","观点明确，见解深刻；参考给定材料，但不拘泥于给定材料；思路清晰，语言流畅；
总字数800-1000字。",4；，,40,800-1000字,基层治理,河南-2022-未知-M2；河南-2022-未知-M3；河南-2022-未知-M4,2022年公务员多省联考《申论》（河南乡镇卷）题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00247,2023,省考,河南,县级卷,1,1,贯彻执行,应用文/事务文书,"石桥街道办易主任被邀请参加全市先进街道创建经验交流会。请根据“给定材料1”，为他拟写一份
发言提纲。（20分）",准确简明、条理清晰、有概括性；不超过300字。,1,20,不超过300字,,河南-2023-县级-M1；河南-2023-县级-M2；河南-2023-县级-M3；河南-2023-县级-M4；河南-2023-县级-M5,2023年公务员多省联考《申论》真题（河南县级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00248,2023,省考,河南,县级卷,1,2,综合分析,解释评价/启示分析,请根据“给定材料2”，对比分析A镇、B镇两种探索的发展理念、路径选择的不同之处。（20分）,全面、准确、深入、有条理；不超过300字。,2,20,不超过300字,,河南-2023-县级-M1；河南-2023-县级-M2；河南-2023-县级-M3；河南-2023-县级-M4；河南-2023-县级-M5,2023年公务员多省联考《申论》真题（河南县级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00249,2023,省考,河南,县级卷,1,3,归纳概括,概括要点,"S县通过“强链、补链、延链”实现了产业链式发展。请根据“给定材料3”，梳理概括其主要做法。
（20分）",全面准确，条理清晰，有概括性；不超过300字。,3,20,不超过300字,经济发展,河南-2023-县级-M1；河南-2023-县级-M2；河南-2023-县级-M3；河南-2023-县级-M4；河南-2023-县级-M5,2023年公务员多省联考《申论》真题（河南县级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00250,2023,省考,河南,县级卷,1,4,综合分析,解释评价/启示分析,"请结合“给定材料4”，谈谈你对画线句子“‘近邻’为基、‘聚邻’为要、‘惠邻’为本”的理解。
（20分）",全面、准确、深入，有条理；不超过400字。,4,20,不超过400字,,河南-2023-县级-M1；河南-2023-县级-M2；河南-2023-县级-M3；河南-2023-县级-M4；河南-2023-县级-M5,2023年公务员多省联考《申论》真题（河南县级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00251,2023,省考,河南,县级卷,1,5,提出对策,对策措施,"市政府召集相关部门开会，专题研讨夜市摆摊的禁放问题。请你结合“给定材料5”中的调研情况，
代表街道提出工作建议。（20分）",定位准确、观点明确、建议合理；不超过400字。,5,20,不超过400字,,河南-2023-县级-M1；河南-2023-县级-M2；河南-2023-县级-M3；河南-2023-县级-M4；河南-2023-县级-M5,2023年公务员多省联考《申论》真题（河南县级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00252,2023,省考,河南,地市级卷,1,1,贯彻执行,应用文/事务文书,请结合“给定材料1”，为参加座谈会的市领导拟写一份总结发言稿。（20分）,定位准确，内容全面，不考虑格式；不超过400字。,1,20,不超过400字,,河南-2023-市级-M1；河南-2023-市级-M2；河南-2023-市级-M3；河南-2023-市级-M6,2023年公务员多省联考《申论》真题（河南市级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00253,2023,省考,河南,地市级卷,1,2,归纳概括,概括要点,"多年来，为当好企业的“引路人、推车手、服务员”，J市不断推出新举措，请根据“给定材料2”，
对此进行梳理概括。（20分）",全面准确，条理清晰，有概括性；不超过300字。,2,20,不超过300字,,河南-2023-市级-M1；河南-2023-市级-M2；河南-2023-市级-M3；河南-2023-市级-M6,2023年公务员多省联考《申论》真题（河南市级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00254,2023,省考,河南,地市级卷,1,3,综合分析,解释评价/启示分析,请结合“给定材料3”，谈谈你对画线词语“新阶段”的理解。（20分）,准确、深入、有条理；不超过300字。,3,20,不超过300字,,河南-2023-市级-M1；河南-2023-市级-M2；河南-2023-市级-M3；河南-2023-市级-M6,2023年公务员多省联考《申论》真题（河南市级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00255,2023,省考,河南,地市级卷,1,4,文章写作,大作文/议论文,"“给定材料6”提到“在大变局的喧嚣中始终坚守住‘本分’，切实增强好‘本领’，不断突破创新，
推动高质量发展的步伐就能坚实稳健，我们就能走向广阔的未来”，请结合对这句话的理解，联系实际，
自选角度，自拟题目，写一篇文章。（40分）","观点明确，见解深刻，思路清晰，结构完整，语言流畅；参考给定材料，但不拘泥于给定材料；
1000-1200字。",6；，,40,1000-1200字,科技创新,河南-2023-市级-M1；河南-2023-市级-M2；河南-2023-市级-M3；河南-2023-市级-M6,2023年公务员多省联考《申论》真题（河南市级卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00256,2007,省考,江苏,通用卷,1,,归纳概括,概括要点,请根据给定材料的内容，以好秘书的名义整理一份供与会者讨论参考的会议材料。,概括准确，条理清楚；篇幅不少于400字。（25分）,,25,不少于400字,,江苏-2007-未知-M40,2007年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00257,2007,省考,江苏,通用卷,2,,申论综合,待细分,根据给定材料的信息，你认为应当如何处置职业乞丐这一社会群体？,条理清晰，做法得当，篇幅不少于100字。（10分）,,10,不少于100字,,江苏-2007-未知-M40,2007年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00258,2007,省考,江苏,通用卷,3,,提出对策,对策措施,假如你是会议的参加者，你将提出哪些完善社会救助的措施？,内容不少于5个方面，有针对性，切实可行，篇幅不少于200字。（15分）,,15,不少于200字,,江苏-2007-未知-M40,2007年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00259,2007,省考,江苏,通用卷,4,,文章写作,大作文/议论文,"请参考给定材料，结合自己的感想，自拟题目，写一篇演讲稿。（此篇演讲稿不需
署名，凡署名者成绩无效）","观点明晰，说理明白，情感丰富，有鼓动性，篇幅不少于1000字。（50分）
2007年江苏省录用公务员考试《申论》",，,50,不少于1000字,,江苏-2007-未知-M40,2007年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00264,2008,省考,江苏,通用卷,1,,综合分析,解释评价/启示分析,"假如你是“给定材料6”中所说的参加“四海论道”的中国经济年度人物之一，赴
世界各地向人们表述真实的“中国制造”。请你写一份能够全面概括给定材料主要观点的发言提
纲。(24分)",概述全面，条理清楚，语言准确；篇幅为350——400字。,6,24,,经济发展,江苏-2008-未知-M40；江苏-2008-未知-M6；江苏-2008-未知-M3,2008年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00265,2008,省考,江苏,通用卷,2,,提出对策,对策措施,"针对“给定材料3”中所提到的第一个“落后”效应，请你结合给定材料，提出相
应的对策。（20分）",针对性强，方法可行，篇幅不少于200字。,3；，,20,不少于200字,,江苏-2008-未知-M40；江苏-2008-未知-M6；江苏-2008-未知-M3,2008年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00267,2009,省考,江苏,通用卷,1,,提出对策,对策措施,（一）请你归纳出“给定材料”中所蕴含几个方面的内容，并加以概括叙述。（24分）,"归纳得当，概括准确，条理清晰，篇幅350～400字。
（二）请结合“给定材料1、2、3、4”，提出应对我国当前经济形势的几点对策性建议。（20
分）
要求：针对性强，方法可行，语言简洁，篇幅不少于200字。",1、2、3、4；6；，,24,350～400字,公共服务；经济发展,江苏-2009-未知-M40；江苏-2009-未知-M1；江苏-2009-未知-M6,2009年江苏公务员考试《申论》真题及解析.pdf,高,通过强清洗，可进入候选池,
SL-00296,2017,省考,江苏,通用卷,1,.1,提出对策,对策措施,"假如你是一名村文化工作者，请针对给定材料3中村基层文化中存在的问题，就如何进一步提
升基层文化的精准服务，提出对策和建议。（25分）",措施具体，针对性强，条例清楚，篇幅250字左右。,5；3；，,15,250字左右,基层治理；科技创新；文化教育,江苏-2017-未知-M1；江苏-2017-未知-M2；江苏-2017-未知-M3；江苏-2017-未知-M4；江苏-2017-未知-M5；江苏-2017-未知-M6；江苏-2017-未知-M7,2017年江苏公务员考试《申论》真题（C类卷）及解析.pdf,高,通过强清洗，可进入候选池,
SL-00297,2017,省考,江苏,通用卷,1,.2,归纳概括,概括要点,给定材料呈现了当前基层群众参与文化活动的一些新现象，请对此进行归纳概括。（20分）,紧扣给定材料，精准全面，条理清楚，语言流畅，篇幅不超过250字。,5；3；，,15,250字左右,基层治理；科技创新；文化教育,江苏-2017-未知-M1；江苏-2017-未知-M2；江苏-2017-未知-M3；江苏-2017-未知-M4；江苏-2017-未知-M5；江苏-2017-未知-M6；江苏-2017-未知-M7,2017年江苏公务员考试《申论》真题（C类卷）及解析.pdf,高,通过强清洗，可进入候选池,
SL-00298,2017,省考,江苏,通用卷,1,.3,文章写作,大作文/议论文,"请围绕给定材料7中的基层文化供给侧改革的要求，以“激发群众参与热情，创新文化服务方
式”为主题，联系实际，自拟标题，写一篇议论文。（40分）",不必拘泥于给定材料，符合议论文写作要求，篇幅1000字左右。,5；3；，,15,250字左右,基层治理；科技创新；文化教育,江苏-2017-未知-M1；江苏-2017-未知-M2；江苏-2017-未知-M3；江苏-2017-未知-M4；江苏-2017-未知-M5；江苏-2017-未知-M6；江苏-2017-未知-M7,2017年江苏公务员考试《申论》真题（C类卷）及解析.pdf,高,通过强清洗，可进入候选池,
SL-00326,2023,省考,江苏,通用卷,1,1,归纳概括,概括要点,"“给定材料1-4”中，一些地方和部门借鉴传统文化中的相关智慧赋能现代社会治理，在不同领域取
得了显著成效，请用一段话对此进行归纳概括。（20分）",紧扣给定材料，全面、准确。篇幅不超过250字。,1-4；，,20,不超过250字,文化教育,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00327,2023,省考,江苏,通用卷,1,2,综合分析,解释评价/启示分析,"“父母在，不远游，游必有方。”是我国传统文化中的经典语录，请结合“给定材料5”中的事例，
谈谈你对这句话当代内涵的理解和认识。（20分）",观点正确，分析透彻，见解深刻。篇幅250字左右。,5,20,250字左右,文化教育,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00328,2023,省考,江苏,通用卷,1,3,申论综合,待细分,"假如你是“给定材料6”中Y市文明办的一名工作人员，请你为即将举办的“微视频大赛”拟写一则
微视频作品征集启事。（20分）",符合给定材料情境，可行性强，要素齐全，条理清楚。篇幅350字左右。,6,20,350字左右,文化教育,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00329,2023,省考,江苏,通用卷,1,4,文章写作,大作文/议论文,"请结合你对“给定材料8”中习近平总书记考察殷墟时所作“学习理解中华文明，古为今用”指示精
神的理解，围绕“从传统文化中汲取营养，在时代征程上绽放青春”这一主题，联系实际，写一篇文章。
（40分）","自选角度，自拟标题；参考给定材料，不拘于给定材料；观点明确，内容充实，结构完整；篇
幅1000字左右。",8；，,40,1000字左右,文化教育,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（A类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00330,2023,省考,江苏,通用卷,1,1,归纳概括,概括要点,"“给定材料1-3”中，列举了执法工作的一些好做法所产生的积极效应，请用一段话对此加以归纳概
括。（20分）",紧扣给定材料，准确全面，条理清晰。篇幅不超过250字。,1-3；，,20,不超过250字,法治政府,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（B类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00331,2023,省考,江苏,通用卷,1,2,综合分析,解释评价/启示分析,根据“给定材料4”，请你就漾湖生态监管的成功实践，谈谈对做好行政执法工作的启示。（15分）,观点正确，分析透彻，针对性强。篇幅250字左右。,4,15,250字左右,生态环保；法治政府,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（B类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00332,2023,省考,江苏,通用卷,1,3,提出对策,对策措施,"假如你是“给定材料5”中的小曹，请就如何在Z市K区借力外卖小哥助力食品安全监管提出建议，
供领导决策参考。（25分）",紧扣给定材料，切合实际，可行性强，条理清楚。篇幅350字左右。,5；，,25,350字左右,,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（B类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00333,2023,省考,江苏,通用卷,1,4,文章写作,大作文/议论文,"党的二十大报告强调了法治建设的重要性，请你结合对“给定材料6”中画线句子的理解，围绕“行
政执法谋善治，良性互动开新局”这一主题，联系实际，写一篇文章。（40分）","（1）自选角度，自拟标题；
（2）参考给定材料，不拘于给定材料；
（3）观点明确，内容充实，结构完整，语言流畅；
（4）篇幅1000字左右。",6；，,40,1000字左右,法治政府,江苏-2023-未知-M1；江苏-2023-未知-M5；江苏-2023-未知-M6；江苏-2023-未知-M8；江苏-2023-未知-M4,2023年江苏省公考《申论》真题（B类）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00334,2000,省考,江苏,通用卷,1,1,归纳概括,概括要点,"“给定材料 1-4”列举了阅读活动中的一些新现象，展现了不同群体采用不同方
式在阅读活动中取得的相应收获，请用一段话对此进行归纳概括。(20 分)",紧扣给定材料，全面、准确。篇幅不超过 250字。,1-4；，,20,不超过250字,,江苏-未知-未知-M1；江苏-未知-未知-M5；江苏-未知-未知-M7；江苏-未知-未知-M8；江苏-未知-未知-M2；江苏-未知-未知-M3；江苏-未知-未知-M4；江苏-未知-未知-M6,2024 年公务员江苏省考《申论》题（A卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
